,X,Y,log
11,0,11,"[0.69764178 0.57580482 0.45396786 0.33213089 0.21029393 0.17691394
 0.16022395 0.14353395 0.12350596 0.10347797 0.09513297 0.08678797
 0.07009798 0.06842898 0.06675998 0.06592548 0.06509098 0.06342198
 0.06342198 0.06342198 0.06342198 0.06342198 0.06342198 0.06342198
 0.06675998 0.07009798 0.07176698 0.07343598 0.07677398 0.08011197
 0.08344997 0.08678797 0.08845697 0.09012597 0.09012597 0.09012597
 0.09012597 0.09012597 0.09179497 0.09346397 0.09680197 0.10008654
 0.1033711  0.10331488 0.10325865 0.10314119 0.10301943 0.10289422
 0.10283037 0.10276652 0.10324707 0.10372588 0.10268334 0.1016408
 0.10060189 0.09956299 0.09749365 0.09646378 0.09543391 0.09451228
 0.09359066 0.09175688 0.09002791 0.08829895 0.08485995 0.08396478
 0.08306961 0.08129388 0.07466428 0.06806608 0.067971   0.06792924
 0.06788749 0.06462263 0.06135776 0.05971832 0.05807888 0.05481674
 0.05480478 0.05479282 0.05472423 0.0546647  0.0546396  0.0546145
 0.07062496 0.07860585 0.08659312 0.08818726 0.0897814  0.09138177
 0.09299857 0.09623638 0.0978649  0.09949342 0.09955939 0.09960056
 0.09964174 0.09973998 0.09979678 0.09985357 0.09991772 0.09998188
 0.10012422 0.10015321 0.10018221 0.10025866 0.10030574 0.10035282
 0.10208418 0.10295977 0.10383537 0.1072306  0.10740226 0.10757393
 0.10793037 0.107125   0.10631962 0.10551557 0.10471152 0.10129798
 0.10163259 0.10175237 0.10187215 0.10032885 0.09878554 0.09569832
 0.09215603 0.08860834 0.08901793 0.08942751 0.08989486 0.09036292
 0.08171305 0.08257092 0.08342784 0.08423554 0.08504324 0.08414808
 0.08324628 0.08225748 0.08126868 0.08270036 0.08413204 0.08556372
 0.0869954  0.08985876 0.09272212 0.09804035 0.10335858 0.10601769
 0.10867681 0.11399504 0.11715949 0.12032394 0.1234884  0.12665285
 0.15024378 0.16203924 0.17383471 0.18035611 0.18198646 0.18361681
 0.18687751 0.19038554 0.19389357 0.19709554 0.20029752 0.2018985
 0.20349949 0.20510048 0.20670146 0.20593058 0.2051597  0.20438882
 0.20400338 0.20361794 0.20361794 0.20361794 0.20361794 0.19694194
 0.19026594 0.18358994 0.18192094 0.18025194 0.17858294 0.17691394
 0.17357594 0.17023795 0.16356195 0.14687195 0.13018196 0.11349196
 0.09680197 0.09346397 0.09179497 0.09012597 0.08845697 0.08678797
 0.08511897 0.08344997 0.07677398 0.07343598 0.07009798 0.07009798
 0.07009798 0.07009798 0.07009798 0.07009798 0.07009798 0.07009798
 0.07009798 0.07677398 0.08344997 0.09680197 0.11670931 0.1266386
 0.13656789 0.15304822 0.1612659  0.16948358 0.18587343 0.20221799
 0.21520749 0.22168537 0.22816324 0.25429848 0.29686684 0.31792768
 0.33895491 0.3435205  0.34810311 0.35286658 0.35763005 0.37387812
 0.3901262  0.42261862 0.43220323 0.43701955 0.44183587 0.44170754
 0.4416429  0.44491433 0.44818576 0.45152326 0.45322528 0.4549273
 0.4551231  0.45537976 0.45569363 0.44949831 0.44333887 0.43698611
 0.43063336 0.41464388 0.39864507 0.24409052 0.16663006 0.0891696
 0.08266784 0.07615034 0.07288319 0.06961603 0.06634011 0.0630642
 0.06147934 0.05988843 0.0590898  0.05829117 0.05668738 0.05674598
 0.05674598 0.05674598 0.05674598 0.05674598 0.06342198 0.06675998
 0.06842898 0.07009798 0.07677398 0.08344997 0.08344997 0.08344997
 0.08344997 0.08344997 0.08344997 0.08344997 0.08344997 0.08344997
 0.08344997 0.08344997 0.08344997 0.08344997 0.08344997 0.08344997
 0.08678797 0.08845697 0.09012597 0.09012597 0.09012597 0.09012597
 0.09012597 0.09012597 0.09012597 0.09012597 0.09012597 0.09012597
 0.08344997 0.07677398 0.07677398 0.07677398 0.07677398 0.07510498
 0.07343598 0.07009798 0.07009798 0.07009798 0.07009798 0.07009798
 0.07009798 0.07176698 0.07343598 0.07677398 0.08344997 0.08511897
 0.08678797 0.09012597 0.09680197 0.10347797 0.13852696 0.15605145
 0.17357594 0.24367392 0.35048989 0.40389787 0.45730585 0.48234085
 0.50737584 0.53241083 0.55744582 0.56495632 0.57246682 0.58748781
 0.6175298 ]"
12,0,12,"[0.85909592 0.1638752  0.10841551 0.06912127 0.0888702  0.10841551
 0.10953575 0.10970344 0.0888702  0.08228722 0.07473625 0.06719936
 0.12115587 0.13133987 0.14084893 0.14039779 0.13910489 0.10119464
 0.10494709 0.11418065 0.214065   0.23012628 0.24297125 0.2640123
 0.27460577 0.26529374 0.25381009 0.23960181 0.12224582 0.10056626
 0.31650902 0.4233822  0.44804524 0.55491842 0.55491842 0.08525784
 0.09454166 0.08632064 0.11098368 0.12742571 0.68645464 0.76044376]"
13,0,13,"[0.78375    0.23625    0.19875    0.16125    0.11625    0.11625
 0.11625    0.11625    0.11763101 0.10875    0.105      0.10125
 0.09375    0.0764803  0.07397333 0.07134375 0.06219714 0.053714
 0.05209519 0.08687862 0.08731628 0.08879622 0.09019357 0.08923495
 0.08873719 0.08603259 0.08335473 0.08605827 0.0840926  0.11735079
 0.13067888 0.14599177 0.14754364 0.15212842 0.14906486 0.15269218
 0.15730374 0.16213843 0.16986607 0.17260443 0.16024443 0.14625
 0.10875    0.10125    0.09       0.07875    0.07875    0.07875
 0.08625    0.09104797 0.10215364 0.13929018 0.15058254 0.16114201
 0.18692981 0.20671119 0.30486701 0.32262625 0.35650191 0.37998847
 0.40759449 0.43210642 0.45863839 0.4755428  0.49894289 0.52125
 0.3075     0.09375    0.09375    0.09375    0.09375    0.09375
 0.0975     0.10125    0.10125    0.10125    0.08625    0.0825
 0.080625   0.07875    0.080625   0.0825     0.08625    0.10125
 0.11625    0.315      0.51375    0.541875   0.57       0.62625
 0.69375   ]"
14,0,14,"[0.73623184 0.60765547 0.47907909 0.22192634 0.18669994 0.16908674
 0.15147354 0.13033769 0.11976977 0.10920185 0.09158865 0.07397545
 0.07045281 0.06869149 0.06693017 0.06693017 0.06693017 0.06693017
 0.06693017 0.07045281 0.07397545 0.07749809 0.08102073 0.08806601
 0.09511129 0.09511129 0.09511129 0.09511129 0.09863393 0.10215657
 0.10920185 0.10920185 0.10682286 0.10422455 0.10147825 0.09926466
 0.09707868 0.08736042 0.08322841 0.08189385 0.08055779 0.07445129
 0.07210723 0.06967171 0.06434627 0.06526951 0.06612364 0.06759804
 0.06277388 0.06040974 0.05790661 0.0594901  0.06106023 0.06253293
 0.06383729 0.08401537 0.10443115 0.10525164 0.10594459 0.10841105
 0.10892275 0.10940464 0.10988766 0.11039941 0.10920185 0.10920185
 0.10920185 0.10920185 0.10920185 0.10920185 0.11272449 0.11624713
 0.11644077 0.1166344  0.11469343 0.11275246 0.10887053 0.10901827
 0.10916601 0.1023226  0.09451264 0.09602153 0.09369671 0.09137188
 0.08904706 0.08672223 0.08833013 0.08993803 0.08785104 0.08576406
 0.09180755 0.0948293  0.09785104 0.10907586 0.11468827 0.12030068
 0.12697966 0.13031916 0.13365865 0.15855451 0.18345038 0.19033251
 0.19721465 0.19906568 0.20091672 0.20461879 0.21813516 0.21650811
 0.21488106 0.21488106 0.20783578 0.2007905  0.18669994 0.17965466
 0.17260938 0.13738297 0.10215657 0.09511129 0.09158865 0.08982733
 0.08806601 0.07397545 0.07397545 0.07397545 0.07397545 0.07397545
 0.07397545 0.07397545 0.08102073 0.08806601 0.10215657 0.14442826
 0.16204146 0.17965466 0.19726786 0.21488106 0.24306219 0.25715275
 0.27124331 0.32051441 0.37109603 0.39750351 0.42092183 0.44485915
 0.48810187 0.50520789 0.52215575 0.52703033 0.53115253 0.53438056
 0.54248455 0.55812586 0.57318098 0.57910852 0.58390062 0.58742542
 0.57261601 0.55633397 0.51323361 0.31273008 0.11341954 0.10415621
 0.0948429  0.07740432 0.06831287 0.06729237 0.06688587 0.06636678
 0.07348859 0.08037398 0.08324218 0.08598118 0.09230742 0.09117053
 0.09007185 0.08903178 0.08806601 0.08806601 0.08982733 0.09158865
 0.09334997 0.09511129 0.09511129 0.09511129 0.09511129 0.09511129
 0.09511129 0.09511129 0.09511129 0.09511129 0.08102073 0.08102073
 0.08102073 0.07749809 0.07397545 0.07397545 0.07397545 0.07749809
 0.08102073 0.08806601 0.09511129 0.10920185 0.25715275 0.48260173
 0.53544134 0.58828094 0.60413283 0.61998471 0.65168847]"
15,0,15,"[0.4725     0.11625    0.0975     0.075      0.07125    0.07125
 0.10125    0.10125    0.11694051 0.11763101 0.1131905  0.11097025
 0.12375    0.12405919 0.09231949 0.09403116 0.09266532 0.09129948
 0.10968232 0.1422853  0.18724971 0.22875    0.22125    0.14625
 0.099375   0.07875    0.07875    0.15375    0.3975     0.440625
 0.48375    0.495      0.50625    0.10125    0.09375    0.09375
 0.095625   0.10125    0.3975     0.69375   ]"
16,0,16,"[0.72085219 0.21729037 0.1483093  0.10692066 0.07243012 0.06553202
 0.06553202 0.06696039 0.08297973 0.09951833 0.10103007 0.11663011
 0.11599748 0.11675231 0.11688911 0.1063334  0.09688634 0.08881646
 0.07309761 0.0710312  0.05565322 0.05392686 0.05189257 0.08046795
 0.08455008 0.08871902 0.08753392 0.08695233 0.08896682 0.09790252
 0.10213018 0.09911485 0.1027714  0.09766013 0.09075101 0.09148324
 0.08192774 0.08444752 0.08175323 0.09460022 0.11778763 0.13086656
 0.17961816 0.19309489 0.20034437 0.21357838 0.21039227 0.21039227
 0.19659605 0.18279984 0.16900362 0.10104669 0.09514157 0.08822251
 0.07403225 0.07376773 0.07335314 0.10062415 0.13956387 0.17027835
 0.20197729 0.22715391 0.25254205 0.3369357  0.35877101 0.42291563
 0.4452372  0.44843074 0.46537753 0.46914895 0.4455148  0.41417012
 0.09286251 0.080008   0.06659028 0.05982097 0.05990395 0.05923427
 0.07243012 0.08622634 0.08622634 0.08622634 0.08622634 0.09312445
 0.09312445 0.09312445 0.09312445 0.07932823 0.07932823 0.07243012
 0.07243012 0.07932823 0.09312445 0.10692066 0.25178091 0.47252034
 0.57599194 0.63807491]"
17,0,17,"[0.12992958 0.12992958 0.14894366 0.16161971 0.17429577 0.77323944
 0.77482395 0.77640845 0.78908451 0.79542254 0.79505115 0.79202017
 0.78898919 0.79051052 0.78388433 0.7741529  0.76442146 0.75727587
 0.76371587 0.78915628 0.8398143  0.83663044 0.83344658 0.80155075
 0.79233267 0.78311459 0.77997412 0.77683365 0.80858334 0.82062868
 0.83267402 0.82626942 0.75770876 0.73807228 0.73531977 0.73256726
 0.73949316 0.82578525 0.85860557 0.88279088 0.90118452 0.91162974
 0.89146455 0.87388053 0.84872664 0.82397987 0.80136722 0.77563108
 0.76334371 0.75105634 0.74788732 0.74471831 0.74471831 0.75739437
 0.77007042 0.77640845 0.78274648 0.07288732 0.07288732 0.07288732
 0.07288732 0.07288732]"
18,0,18,"[0.975693   0.63490071 0.29410842 0.20074066 0.14472001 0.13538324
 0.12604646 0.13538324 0.14472001 0.14472001 0.14472001 0.14472001
 0.14472001 0.14472001 0.14472001 0.15405679 0.15457001 0.14942547
 0.14428092 0.14447672 0.14467251 0.13560328 0.13042819 0.1252531
 0.12625293 0.12725276 0.1210908  0.11492884 0.11919058 0.1164248
 0.11365903 0.12967732 0.15942876 0.1682801  0.17713145 0.24311805
 0.26135918 0.26626536 0.27117154 0.28908413 0.28477164 0.28477164
 0.28477164 0.26609809 0.25676131 0.24742454 0.23808776 0.22875099
 0.18206711 0.13538324 0.13071485 0.12604646 0.11670969 0.09803614
 0.09803614 0.09803614 0.09803614 0.12604646 0.11670969 0.10737291
 0.08869936 0.07936259 0.07936259 0.07936259 0.07936259 0.09803614
 0.11670969 0.11670969 0.11670969 0.11670969 0.11670969 0.11670969
 0.12604646 0.12604646 0.12604646 0.12604646 0.12604646 0.11670969
 0.10737291 0.10737291 0.10737291 0.10270453 0.09803614 0.09803614
 0.10737291 0.11670969 0.12604646 0.13538324 0.14472001 0.24275615
 0.34079229 0.49018069 0.63956909 0.70959491 0.77962072 0.82163621
 0.8636517 ]"
19,0,19,"[0.22375312 0.11010074 0.0674811  0.0674811  0.0674811  0.09589419
 0.11010074 0.1114087  0.08879092 0.06037783 0.06037783 0.10299747
 0.11010074 0.11010074 0.11759447 0.10316487 0.09681193 0.08743608
 0.08647003 0.0986565  0.12129093 0.13475886 0.19883801 0.2063031
 0.21993073 0.21664985 0.1740302  0.10466544 0.09907434 0.07788785
 0.07788785 0.28254535 0.37174277 0.38712841 0.45816115 0.50570934
 0.53463814 0.57662749 0.59204893 0.51538072 0.09541318 0.0673248
 0.09516647 0.09907434 0.10014152 0.08530574 0.07705782 0.08301052
 0.11010074 0.65705281]"
20,0,20,"[0.92086286 0.27758067 0.18945982 0.13658731 0.09252689 0.08371481
 0.08371481 0.08371481 0.10133897 0.11896314 0.11896314 0.13658731
 0.13658731 0.13658731 0.13820992 0.12777523 0.11896314 0.11015106
 0.09252689 0.09252689 0.07490272 0.07490272 0.07490272 0.11896314
 0.12777523 0.13240611 0.12778781 0.12294366 0.11815482 0.12108769
 0.11755653 0.10708514 0.10598584 0.0993418  0.09296271 0.09236005
 0.08171431 0.08332844 0.07877146 0.09032743 0.11368551 0.13187795
 0.18286649 0.20089676 0.21423482 0.23517719 0.2387129  0.23727829
 0.2162313  0.19733192 0.17982693 0.10512663 0.09678265 0.08876227
 0.07276231 0.07182044 0.07182044 0.10048129 0.14220668 0.17798409
 0.21514627 0.24716516 0.28191348 0.38838555 0.42655255 0.51337191
 0.55042311 0.56572766 0.59828925 0.61243989 0.57719155 0.53313113
 0.11896314 0.10133897 0.08371481 0.07490272 0.0726098  0.07007719
 0.08328441 0.09528615 0.09173309 0.08876227 0.0866218  0.09234056
 0.09234056 0.09355155 0.09586325 0.08439445 0.08766326 0.08328441
 0.08656594 0.09823679 0.11896314 0.13658731 0.32164109 0.60362781
 0.73580908 0.81511784]"
21,0,21,"[0.78375    0.16125    0.13875    0.11625    0.0975     0.07875
 0.07125    0.07125    0.07125    0.07875    0.08625    0.10250186
 0.11927203 0.12066319 0.12148366 0.12148366 0.12066319 0.11551522
 0.11027353 0.10221899 0.09837402 0.09452906 0.10307364 0.1119367
 0.12467534 0.13703386 0.1730006  0.21012227 0.22375244 0.23658711
 0.24368606 0.25208541 0.24674983 0.24031379 0.22675684 0.21375
 0.19875    0.19125    0.18375    0.13311503 0.08248007 0.08061503
 0.07875    0.285      0.49125    0.4725     0.45375    0.2775
 0.10125    0.0825     0.06375    0.06375    0.07125    0.07875
 0.38625    0.69375   ]"
22,0,22,"[0.13205206 0.08945462 0.08093514 0.09797411 0.11501309 0.13205206
 0.1336208  0.12353258 0.1064936  0.08945462 0.07241565 0.11501309
 0.12353258 0.13205206 0.13205206 0.14057155 0.14103985 0.13165141
 0.13200872 0.12373335 0.11428917 0.10486864 0.10875733 0.10370998
 0.16162639 0.2218369  0.09148368 0.17464951 0.25984439 0.29392234
 0.4643121  0.57506544 0.59210442 0.60553484 0.5535241  0.1263035
 0.10953908 0.09154641 0.08224014 0.08190995 0.31096131 0.58358493
 0.71137725 0.78805265]"
23,0,23,"[0.19875    0.16125    0.07125    0.07125    0.09375    0.10125
 0.10125    0.10875    0.11625    0.11694051 0.1131905  0.10875
 0.105      0.10125    0.06326111 0.08143506 0.09960901 0.10641397
 0.1132472  0.11289532 0.11280929 0.11273519 0.12057719 0.1171463
 0.11334054 0.11375545 0.11417035 0.103694   0.10221899 0.09726924
 0.09574284 0.10416658 0.13517524 0.1422853  0.168788   0.20994335
 0.21782538 0.23221412 0.23048206 0.23263457 0.23785007 0.22884826
 0.20762597 0.12317529 0.10939813 0.10402194 0.09431513 0.0846585
 0.09534204 0.10875    0.13125    0.1725     0.19125    0.26798343
 0.42236777 0.44105301 0.45863064 0.5042345  0.50878013 0.45375
 0.09375    0.08625    0.07125    0.06375    0.06375    0.06375
 0.07125    0.09375    0.0975     0.10125    0.10125    0.08625
 0.08625    0.0825     0.0825     0.08625    0.11625    0.27375
 0.51375    0.62625    0.69375   ]"
24,0,24,"[0.78375    0.646875   0.51       0.23625    0.19875    0.16125
 0.13875    0.11625    0.106875   0.0975     0.088125   0.07875
 0.07125    0.07125    0.07125    0.07125    0.07125    0.07125
 0.07875    0.08625    0.20261703 0.13125    0.15375    0.1725
 0.181875   0.19125    0.21       0.22875    0.23625    0.24375
 0.25875    0.27375    0.28875    0.313125   0.3253125  0.3375
 0.38625    0.3975     0.40875    0.44625    0.48375    0.495
 0.50625    0.50625    0.50625    0.50625    0.51375    0.52125
 0.52125    0.52125    0.52125    0.52125    0.50625    0.49125
 0.481875   0.4725     0.463125   0.45375    0.08625    0.09375
 0.09375    0.09375    0.09375    0.09375    0.09375    0.09375
 0.09375    0.095625   0.0975     0.099375   0.10125    0.10125
 0.10125    0.10125    0.10125    0.10125    0.09375    0.08625
 0.08625    0.08625    0.0825     0.07875    0.07875    0.07875
 0.07875    0.0825     0.08625    0.09375    0.10125    0.10875
 0.1125     0.11625    0.195      0.27375    0.30375    0.33375
 0.39375    0.51375    0.57       0.62625    0.69375   ]"
25,0,25,"[0.92043247 0.09248365 0.08367568 0.06581677 0.13652348 0.14533144
 0.1458156  0.12792308 0.09442419 0.1072217  0.09248365 0.10045718
 0.3391067  0.56811382 0.59453772 0.61215365 0.57692179 0.11009958
 0.11009958 0.11890754 0.10129161 0.10129161 0.11890754 0.60334569]"
26,0,26,"[0.70901536 0.58519211 0.46136885 0.33754559 0.21372233 0.19676024
 0.17979815 0.14587397 0.13569672 0.12551947 0.10516496 0.08820287
 0.07124078 0.06784836 0.06445594 0.06445594 0.06445594 0.06445594
 0.06445594 0.06445594 0.06445594 0.06784836 0.07124078 0.0746332
 0.07802561 0.08481045 0.09159529 0.09159529 0.09159529 0.09159529
 0.10516496 0.10388963 0.10261431 0.10133898 0.10006365 0.09864573
 0.09722781 0.09580988 0.09439196 0.09223922 0.09008648 0.08793374
 0.085781   0.07870024 0.07515986 0.07161948 0.06919387 0.06676827
 0.06191706 0.05885434 0.05732299 0.05579163 0.05197467 0.05006619
 0.04815771 0.05186238 0.04917565 0.04648892 0.04780752 0.04912613
 0.05044473 0.05176333 0.0525409  0.05331847 0.05409605 0.05487362
 0.07323445 0.09159529 0.0932915  0.0949877  0.09668391 0.09838012
 0.10007633 0.10177254 0.10346875 0.10516496 0.10516496 0.10516496
 0.10516496 0.10516496 0.10516496 0.10516496 0.10516496 0.10516496
 0.10686117 0.10855738 0.11025359 0.11194979 0.11213627 0.11222951
 0.11232274 0.11045353 0.10858431 0.10484588 0.10498816 0.10513044
 0.09854002 0.09477939 0.09289908 0.09101876 0.09138204 0.09174532
 0.0921086  0.09247188 0.0892202  0.08596852 0.08271684 0.07946517
 0.07903404 0.07860292 0.07774068 0.07385699 0.06997329 0.07320186
 0.07481615 0.07643043 0.08443527 0.08843769 0.09244011 0.09841975
 0.10439939 0.12703655 0.13835514 0.14967372 0.16007111 0.17046851
 0.17898223 0.18323908 0.18749594 0.19313978 0.19878362 0.2100713
 0.20928785 0.2085044  0.2069375  0.2069375  0.2069375  0.20498048
 0.19628196 0.19093403 0.18558838 0.18025779 0.17495572 0.16497846
 0.15522473 0.14572051 0.12777744 0.11054581 0.08020748 0.07690155
 0.07371129 0.06936212 0.06520811 0.06247692 0.05988939 0.05393205
 0.05056256 0.04737929 0.04659298 0.04591019 0.0449063  0.04400317
 0.04320223 0.04250414 0.0498915  0.05324879 0.05665159 0.06788461
 0.07334973 0.07894491 0.08374342 0.08873816 0.09879879 0.10429523
 0.1100746  0.11616065 0.12257662 0.13240084 0.14269385 0.14956727
 0.15456082 0.15988636 0.17385737 0.18853244 0.20395259 0.22015608
 0.22535355 0.23081278 0.25013914 0.26234196 0.2751045  0.28227277
 0.28976444 0.29755568 0.30289193 0.30758312 0.31251257 0.31765003
 0.32296418 0.33326879 0.34381086 0.35456067 0.36548741 0.38106473
 0.39129936 0.40159174 0.4061198  0.41051882 0.41476829 0.41885073
 0.41666611 0.41357434 0.41048258 0.25103893 0.17131711 0.09159529
 0.08481045 0.08141803 0.07802561 0.0746332  0.07124078 0.06445594
 0.06106352 0.05767111 0.05767111 0.05767111 0.05767111 0.05767111
 0.06445594 0.06784836 0.07124078 0.0746332  0.07802561 0.08141803
 0.08481045 0.08481045 0.08481045 0.08481045 0.08481045 0.08481045
 0.08481045 0.08481045 0.08481045 0.08481045 0.08481045 0.08481045
 0.08650666 0.08820287 0.09159529 0.09159529 0.09159529 0.09159529
 0.09159529 0.09159529 0.09159529 0.09159529 0.09159529 0.09159529
 0.08481045 0.08141803 0.07802561 0.07802561 0.07802561 0.07802561
 0.0746332  0.07293699 0.07124078 0.07124078 0.07124078 0.07124078
 0.0746332  0.07632941 0.07802561 0.08481045 0.09159529 0.0949877
 0.09838012 0.10177254 0.10516496 0.17640574 0.21202613 0.24764651
 0.3019252  0.35620389 0.46476127 0.4902044  0.51564754 0.54109067
 0.56653381 0.58179969 0.59706557 0.62759733]"
27,0,27,"[0.6251887  0.6251887  0.6251887  0.6251887  0.60475769 0.58432669
 0.43722347 0.29012024 0.22474104 0.15936183 0.14301702 0.13853958
 0.13406213 0.13853958 0.14301702 0.15118942 0.15936183 0.16549113
 0.17162042 0.16549113 0.15936183 0.15118942 0.14301702 0.13484462
 0.12667222 0.12667222 0.12667222 0.14506013 0.16344803 0.16957733
 0.17570663 0.17570663 0.17570663 0.16344803 0.15118942 0.13893082
 0.12667222 0.12667222 0.12667222 0.13075842 0.13484462 0.14710322
 0.15936183 0.15936183 0.15936183 0.15936183 0.15936183 0.15118942
 0.14301702 0.13484462 0.12667222 0.12667222 0.12667222 0.14710322
 0.16753422 0.17162042 0.17570663 0.17570663 0.15936182 0.14301702
 0.13075842 0.11849982 0.11849982 0.11849982 0.13075842 0.14301702
 0.14914632 0.15527563 0.16140492 0.16753422 0.17162042 0.17570663
 0.17570663 0.17570663 0.16753423 0.15936183 0.14506012 0.13075842]"
28,0,28,"[0.595      0.595      0.595      0.595      0.595      0.595
 0.595      0.595      0.595      0.58527778 0.57555555 0.56583333
 0.55611111 0.48611111 0.41611111 0.34611111 0.27611111 0.245
 0.21388889 0.18277778 0.15166667 0.14777778 0.14388889 0.14
 0.13611111 0.13184987 0.12758863 0.12971925 0.13184987 0.13611111
 0.14       0.14388889 0.14777778 0.15166667 0.15458333 0.1575
 0.16041667 0.16333333 0.16041667 0.1575     0.15458333 0.15166667
 0.14777778 0.14388889 0.14       0.13611111 0.13222222 0.12833333
 0.12055556 0.12055556 0.12055556 0.12055556 0.12055556 0.12930556
 0.13805556 0.14680556 0.15555556 0.15847223 0.16138889 0.16430555
 0.16722222 0.16722222 0.16722222 0.16138889 0.15555556 0.14972222
 0.14388889 0.13805556 0.13222222 0.12638889 0.12055556 0.12055556
 0.12055556 0.12055556 0.12055556 0.1225     0.12444445 0.12638889
 0.12833333 0.13416667 0.14       0.14583334 0.15166667 0.15166667
 0.15166667 0.15166667 0.15166667 0.15166667 0.15166667 0.15166667
 0.15166667 0.14777778 0.14388889 0.14       0.13611111 0.13222222
 0.12833333 0.12055556 0.12055556 0.12055556 0.12055556 0.12055556
 0.13027778 0.14       0.14972222 0.15944444 0.16138888 0.16333333
 0.16527778 0.16722222 0.16722222 0.16722222 0.16722222 0.16722222
 0.15944444 0.15166667 0.13611111 0.13027778 0.12444445 0.11861111
 0.11277778 0.11277778 0.11277778 0.11277778 0.11861111 0.12444445
 0.13027778 0.13611111 0.13902778 0.14194445 0.14486111 0.14777778
 0.15069445 0.15361111 0.15944444 0.16333333 0.16722222 0.16722222
 0.16722222 0.16722222 0.16722222 0.16333333 0.15944444 0.15555556
 0.15166667 0.14486111 0.13805555 0.12444444]"
29,0,29,"[0.595      0.55611111 0.12758863 0.13611111 0.15166667 0.15166667
 0.13611111 0.16722222 0.16722222 0.14388889 0.12055556 0.15166667
 0.13611111 0.12055556 0.12055556 0.16158957 0.16722222 0.15166667
 0.12444444]"
30,0,30,"[0.595      0.595      0.595      0.12055556 0.12055556 0.15555556
 0.16722222 0.16722222 0.14388889 0.12055556 0.12055556 0.12833333
 0.15944444 0.16722222 0.16722222 0.13611111 0.11277778 0.11277778
 0.16722222 0.16722222 0.15166667 0.12444444]"
31,0,31,"[0.5347386  0.5347386  0.5347386  0.5347386  0.49978837 0.24814667
 0.13630592 0.12232582 0.11849616 0.1146665  0.11849616 0.12232582
 0.12931587 0.13630592 0.14679099 0.13630592 0.12232582 0.11533578
 0.10834573 0.10834573 0.12407334 0.13980095 0.15028601 0.15028601
 0.13980094 0.12931587 0.1188308  0.10834573 0.10834573 0.10834573
 0.11533577 0.12582085 0.13630592 0.13630592 0.13630592 0.13630592
 0.12931587 0.12232582 0.11533578 0.10834573 0.10834573 0.14329596
 0.14679099 0.15028601 0.15028601 0.15028601 0.13630592 0.12232582
 0.11184075 0.10135569 0.10135569 0.11184075 0.12232582 0.12756836
 0.1328109  0.14329596 0.15028601 0.15028601 0.15028601 0.14329597
 0.13630592 0.11184075]"
